-,n w n n n n w n w 
$,n w n w n w n n n 
%,n n n w n w n w n 
*,n w n n w n w n n 
.,w w n n n n w n n 
/,n w n w n n n w n 
+,n w n n n w n w n 
0,n n n w w n w n n   
1,w n n w n n n n w   
2,n n w w n n n n w   
3,w n w w n n n n n   
4,n n n w w n n n w   
5,w n n w w n n n n   
6,n n w w w n n n n   
7,n n n w n n w n w   
8,w n n w n n w n n   
9,n n w w n n w n n   
A,w n n n n w n n w   
B,n n w n n w n n w   
C,w n w n n w n n n   
D,n n n n w w n n w   
E,w n n n w w n n n   
F,n n w n w w n n n   
G,n n n n n w w n w   
H,w n n n n w w n n   
I,n n w n n w w n n   
J,n n n n w w w n n   
K,w n n n n n n w w   
L,n n w n n n n w w   
M,w n w n n n n w n  
N,n n n n w n n w w   
O,w n n n w n n w n   
P,n n w n w n n w n   
Q,n n n n n n w w w   
R,w n n n n n w w n   
S,n n w n n n w w n   
SP,n w w n n n w n n 
T,n n n n w n w w n   
U,w w n n n n n n w   
V,n w w n n n n n w   
W,w w w n n n n n n       
X,n w n n w n n n w       
Y,w w n n w n n n n       
Z,n w w n w n n n n
